attack_don,attack_rec,brood_size,Nest_ID,Date_analysis,Age_A,Age_B,Age_C,direction,brood_ID,row_id,young_end,old_end,phase,date_brood,weight_tot,food_cat,age_diff
A,B,3,207,133,18,17,8,AB,207_2019,1,2019-05-13,2019-05-23,early,133207_2019,154,high,-1
B,A,3,207,133,18,17,8,BA,207_2019,2,2019-05-13,2019-05-23,early,133207_2019,154,high,1
A,B,3,207,133,18,17,8,AB,207_2019,3,2019-05-13,2019-05-23,early,133207_2019,154,high,-1
A,B,3,207,133,18,17,8,AB,207_2019,4,2019-05-13,2019-05-23,early,133207_2019,154,high,-1
A,B,3,207,133,18,17,8,AB,207_2019,5,2019-05-13,2019-05-23,early,133207_2019,154,high,-1
A,B,3,207,133,18,17,8,AB,207_2019,6,2019-05-13,2019-05-23,early,133207_2019,154,high,-1
A,B,3,207,133,18,17,8,AB,207_2019,7,2019-05-13,2019-05-23,early,133207_2019,154,high,-1
A,B,3,207,133,18,17,8,AB,207_2019,8,2019-05-13,2019-05-23,early,133207_2019,154,high,-1
B,A,3,207,135,20,19,10,BA,207_2019,9,2019-05-13,2019-05-23,late,135207_2019,232.2,high,1
A,B,3,207,135,20,19,10,AB,207_2019,10,2019-05-13,2019-05-23,late,135207_2019,232.2,high,-1
A,B,3,207,135,20,19,10,AB,207_2019,11,2019-05-13,2019-05-23,late,135207_2019,232.2,high,-1
A,B,3,207,135,20,19,10,AB,207_2019,12,2019-05-13,2019-05-23,late,135207_2019,232.2,high,-1
A,B,3,207,135,20,19,10,AB,207_2019,13,2019-05-13,2019-05-23,late,135207_2019,232.2,high,-1
A,B,3,207,135,20,19,10,AB,207_2019,14,2019-05-13,2019-05-23,late,135207_2019,232.2,high,-1
A,B,3,207,135,20,19,10,AB,207_2019,15,2019-05-13,2019-05-23,late,135207_2019,232.2,high,-1
A,B,3,207,135,20,19,10,AB,207_2019,16,2019-05-13,2019-05-23,late,135207_2019,232.2,high,-1
A,B,3,207,135,20,19,10,AB,207_2019,17,2019-05-13,2019-05-23,late,135207_2019,232.2,high,-1
A,B,3,207,135,20,19,10,AB,207_2019,18,2019-05-13,2019-05-23,late,135207_2019,232.2,high,-1
A,B,3,207,135,20,19,10,AB,207_2019,19,2019-05-13,2019-05-23,late,135207_2019,232.2,high,-1
A,C,3,207,135,20,19,10,AC,207_2019,20,2019-05-13,2019-05-23,late,135207_2019,232.2,high,-8
B,A,3,207,126,11,10,1,BA,207_2019,21,2019-05-13,2019-05-23,early,126207_2019,92.2,medium,1
A,B,3,207,126,11,10,1,AB,207_2019,22,2019-05-13,2019-05-23,early,126207_2019,92.2,medium,-1
B,A,3,207,126,11,10,1,BA,207_2019,23,2019-05-13,2019-05-23,early,126207_2019,92.2,medium,1
B,A,3,207,126,11,10,1,BA,207_2019,24,2019-05-13,2019-05-23,early,126207_2019,92.2,medium,1
B,A,3,207,126,11,10,1,BA,207_2019,25,2019-05-13,2019-05-23,early,126207_2019,92.2,medium,1
B,A,3,207,126,11,10,1,BA,207_2019,26,2019-05-13,2019-05-23,early,126207_2019,92.2,medium,1
B,A,3,207,126,11,10,1,BA,207_2019,27,2019-05-13,2019-05-23,early,126207_2019,92.2,medium,1
B,A,3,207,126,11,10,1,BA,207_2019,28,2019-05-13,2019-05-23,early,126207_2019,92.2,medium,1
B,A,3,207,126,11,10,1,BA,207_2019,29,2019-05-13,2019-05-23,early,126207_2019,92.2,medium,1
B,A,3,207,126,11,10,1,BA,207_2019,30,2019-05-13,2019-05-23,early,126207_2019,92.2,medium,1
B,A,3,207,126,11,10,1,BA,207_2019,31,2019-05-13,2019-05-23,early,126207_2019,92.2,medium,1
B,A,3,207,126,11,10,1,BA,207_2019,32,2019-05-13,2019-05-23,early,126207_2019,92.2,medium,1
B,A,3,207,126,11,10,1,BA,207_2019,33,2019-05-13,2019-05-23,early,126207_2019,92.2,medium,1
B,A,3,207,126,11,10,1,BA,207_2019,34,2019-05-13,2019-05-23,early,126207_2019,92.2,medium,1
B,A,3,207,126,11,10,1,BA,207_2019,35,2019-05-13,2019-05-23,early,126207_2019,92.2,medium,1
B,A,3,207,126,11,10,1,BA,207_2019,36,2019-05-13,2019-05-23,early,126207_2019,92.2,medium,1
